,status,distance,duration,geometry,type
43,Ok,2340.7,616.9,"[[-73.988591, 40.746205], [-73.98862, 40.746046], [-73.995749, 40.749052], [-73.989296, 40.757912], [-73.994588, 40.760135]]",LineString
44,Ok,1838.7,496.5,"[[-73.975357, 40.741442], [-73.973135, 40.744496], [-73.987825, 40.750684], [-73.987754, 40.750989]]",LineString
45,Ok,2130.5,577.3,"[[-73.995976, 40.724289], [-73.993147, 40.727867], [-73.991545, 40.727095], [-73.980156, 40.722281], [-73.977975, 40.72529], [-73.977713, 40.725179]]",LineString
46,Ok,2932.6,742.2,"[[-74.000306, 40.735226], [-73.999973, 40.734688], [-73.998714, 40.734784], [-73.984546, 40.728827], [-73.977705, 40.738215], [-73.979769, 40.739083]]",LineString
47,Ok,2152.9,553.7,"[[-73.939619, 40.804528], [-73.941969, 40.801299], [-73.953957, 40.806353], [-73.957246, 40.801865], [-73.957073, 40.801791]]",LineString
48,Ok,3396.2,917.3,"[[-73.972066, 40.763066], [-73.970363, 40.762345], [-73.971809, 40.760357], [-73.982157, 40.764712], [-73.982767, 40.76333], [-73.984802, 40.76005], [-73.985069, 40.759395], [-73.98463, 40.75921], [-73.986949, 40.756036], [-73.986417, 40.755814], [-73.987523, 40.752184], [-73.987836, 40.749983], [-73.988278, 40.749231], [-73.988008, 40.749007], [-73.988143, 40.748556]]",LineString
49,Ok,3911.2,1035.7,"[[-73.972066, 40.763066], [-73.970363, 40.762345], [-73.971809, 40.760357], [-73.986568, 40.76657], [-73.992053, 40.759067], [-74.000683, 40.762705], [-74.001533, 40.762037], [-74.002495, 40.760824], [-74.002775, 40.760844]]",LineString
50,Ok,2059.6,594.6,"[[-73.975357, 40.741442], [-73.975911, 40.740688], [-73.978072, 40.741603], [-73.984363, 40.733], [-73.98998, 40.735375], [-73.990165, 40.735165], [-73.990645, 40.734866], [-73.990815, 40.734556]]",LineString
51,Ok,1676.4,610.5,"[[-73.975217, 40.67517], [-73.97503, 40.675097], [-73.973687, 40.677078], [-73.978669, 40.679063], [-73.977029, 40.681486], [-73.979551, 40.682484], [-73.978264, 40.684377], [-73.978201, 40.684355], [-73.979015, 40.68315]]",LineString
52,Ok,1836.6,507.8,"[[-73.959237, 40.722465], [-73.954061, 40.719246], [-73.959864, 40.713832], [-73.961803, 40.710749], [-73.96089, 40.710408]]",LineString
53,Ok,2640.7,727.7,"[[-73.973749, 40.764412], [-73.974111, 40.763933], [-73.970363, 40.762345], [-73.971349, 40.760989], [-73.965778, 40.75864], [-73.973144, 40.748534], [-73.972307, 40.748183], [-73.972736, 40.747561], [-73.973412, 40.747845]]",LineString
54,Ok,2019,537.7,"[[-74.000306, 40.735226], [-74.000356, 40.735307], [-74.001969, 40.735069], [-74.003583, 40.732254], [-74.002106, 40.729622], [-73.998175, 40.727684], [-74.002971, 40.721995], [-74.002326, 40.721679]]",LineString
55,Ok,2076.3,565.4,"[[-73.981979, 40.765275], [-73.982767, 40.76333], [-73.984802, 40.76005], [-73.985069, 40.759395], [-73.98463, 40.75921], [-73.986949, 40.756036], [-73.986417, 40.755814], [-73.987318, 40.7529], [-73.982724, 40.750959], [-73.98318, 40.750341], [-73.983362, 40.750418]]",LineString
56,Ok,4772.1,1273.9,"[[-73.981969, 40.745683], [-73.976711, 40.743467], [-73.989791, 40.725549], [-73.998604, 40.729686], [-74.005186, 40.721932], [-74.005743, 40.722478]]",LineString
57,Ok,4283.6,1249,"[[-74.006685, 40.703576], [-74.006926, 40.703769], [-74.007686, 40.703232], [-74.009747, 40.704775], [-74.009995, 40.705331], [-74.009502, 40.706379], [-74.008016, 40.707988], [-74.008893, 40.709044], [-74.005847, 40.711688], [-74.006088, 40.712027], [-74.004577, 40.712425], [-74.004059, 40.713135], [-74.007952, 40.714935], [-74.005361, 40.718299], [-74.00522, 40.720639], [-73.997872, 40.729327], [-74.000123, 40.730431], [-74.000498, 40.729987], [-74.001684, 40.730581], [-74.002137, 40.730363]]",LineString
58,Ok,1080.2,314.4,"[[-73.987157, 40.695065], [-73.98687, 40.699961], [-73.986706, 40.699874], [-73.986324, 40.699859], [-73.986772, 40.700638], [-73.986639, 40.703106], [-73.987591, 40.703135], [-73.987609, 40.702817]]",LineString
59,Ok,5024.5,1263.9,"[[-73.98673, 40.701403], [-73.986772, 40.700638], [-73.986408, 40.700005], [-73.982948, 40.699731], [-73.980464, 40.699709], [-73.980562, 40.698253], [-73.965667, 40.697688], [-73.962898, 40.698075], [-73.962428, 40.699687], [-73.962591, 40.700434], [-73.967337, 40.704229], [-73.968407, 40.706718], [-73.968602, 40.710659], [-73.96608, 40.716336], [-73.964183, 40.718101], [-73.962848, 40.717272], [-73.963236, 40.71691]]",LineString
60,Ok,3584.3,947.3,"[[-73.982126, 40.743104], [-73.982463, 40.742644], [-73.97852, 40.740986], [-73.979423, 40.739743], [-73.977238, 40.738833], [-73.970062, 40.748798], [-73.963871, 40.757008], [-73.968632, 40.759027]]",LineString
61,Ok,3305,934,"[[-73.978051, 40.757257], [-73.978566, 40.756654], [-73.98463, 40.75921], [-73.986949, 40.756036], [-73.986417, 40.755814], [-73.987523, 40.752184], [-73.987836, 40.749983], [-73.988278, 40.749231], [-73.988008, 40.749007], [-73.989159, 40.743042], [-73.988648, 40.742817], [-73.990307, 40.737185], [-73.990078, 40.737071]]",LineString
62,Ok,2563.5,677.9,"[[-73.988591, 40.746205], [-73.98862, 40.746046], [-73.995749, 40.749052], [-73.985092, 40.763678]]",LineString
63,Ok,1091.1,279.7,"[[-73.96884, 40.693267], [-73.968078, 40.689453], [-73.973126, 40.689622], [-73.972709, 40.687527]]",LineString
64,Ok,1582.4,452.7,"[[-73.990913, 40.750224], [-73.996799, 40.752729], [-73.997716, 40.7515], [-73.997679, 40.751344], [-74.000316, 40.74773], [-74.003236, 40.748974], [-74.002786, 40.74959], [-74.002983, 40.749673]]",LineString
65,Ok,3371.6,902.1,"[[-73.959319, 40.78304], [-73.95947, 40.782833], [-73.950794, 40.779176], [-73.960692, 40.765612], [-73.967761, 40.768594], [-73.967303, 40.769226], [-73.96706, 40.769123]]",LineString
66,Ok,2346.7,638.3,"[[-73.999349, 40.739313], [-73.999185, 40.739243], [-74.001095, 40.736564], [-74.003583, 40.732254], [-74.002106, 40.729622], [-73.994463, 40.725851], [-73.992151, 40.725227], [-73.992, 40.72563], [-73.990663, 40.725076]]",LineString
