id,latitude,longitude,availabledocks,stationname,statuskey,statusvalue,totaldocks
3115,40.73232194,-73.9550858,24,India St & Manhattan Ave,1,In Service,34
3116,40.732659999999996,-73.95826,6,Huron St & Franklin St,1,In Service,35
3117,40.735640000000004,-73.95866,11,Franklin St & Dupont St,1,In Service,27
3118,40.73555,-73.95284000000001,25,McGuinness Blvd & Eagle St,1,In Service,30
3119,40.74232744,-73.95411749,43,Vernon Blvd & 50 Ave,1,In Service,45
3120,40.741609999999994,-73.96044,18,Center Blvd & Borden Ave,1,In Service,20
3121,40.74524768,-73.94733276,23,Jackson Ave & 46 Rd,1,In Service,27
3122,40.744363287066896,-73.95587325096129,24,48 Ave & 5 St,1,In Service,31
3123,40.74469738,-73.93540375,26,31 St & Thomson Ave,1,In Service,27
3124,40.74731,-73.95451,21,46 Ave & 5 St,1,In Service,27
3125,40.74708586,-73.94977234,18,45 Rd & 11 St,1,In Service,23
3126,40.74718234,-73.9432635,26,44 Dr & Jackson Ave,1,In Service,34
3127,40.74966,-73.9521,26,9 St & 44 Rd,1,In Service,35
3128,40.75052534,-73.94594845,22,21 St & 43 Ave,1,In Service,23
3129,40.75110165,-73.94073717,30,Queens Plaza North & Crescent St,1,In Service,31
